Bill,Stage
2-2013,Act
7B-2011,Act
22B-2013,Act
13-2013,Act
21-2013,Act
11-2013,Act
10-2013,Act
46-2013,Act
24-2012,Act
9D-2009,Act
36B-2012,Act
30D-2012,Act
8B-2012,Act
26B-2012,Act
1-2013,Act
25B-2011,Act
24F-2011,Act
13D-2012,Act
37B-2012,Act
28-2012,Act
12-2013,Assent
38-2013,Assent
7B-2010,Act
"21B-2012
(reprint)",Act
15B-2012,Assent
17B-2012,Act
"14B-2012
 ",Act
40-2012,Act
23-2012,Act
35-2012,Act
12B-2012,Act
34-2012,Act
6B -2011,Act
8B-2010,Assent
43B-2012 (reprint),Assent
4B-2013,Assent
6-2013,Assent
20B-2013,Assent
37-2013,Assent
1-2012,Unknown
29-2012,NCOP
15-2013,Intro
16-2013,Intro
19B-2013,Assent
26-2013,Intro
27-2013,SC
29-2013,Intro
30-2013,NA
31-2013,Intro
33-2013,Intro
36-2013,Intro
43-2013,Intro
44-2013,Intro
45-2013,Intro
47-2013,Intro
49-2013,Intro
50-2013,Intro
52-2013,Intro
54-2013,Intro
55-2013,Intro
56-2013,Intro
PM 3 – 2013,PC
PM 4 – 2013,Intro
PM 5 – 2013,Intro
PM 6 – 2013,Intro
PM 7 – 2013,Intro
PM 8 - 2013,Intro
38-2012,NA
39-2012,NA
14-2013,NA
PM1-2012,Withdrawn
PM 1 – 2013,Withdrawn
PM 2 – 2013,Withdrawn
48-2013,Withdrawn
9B-2012,PC
27-2012,NA
28-2013,Intro
35-2013,Unknown
B 6H-2010,Assent
31-2012,Assent
42B-2012,Assent
5-2013,Assent
B 7D-2013,Assent
B 9B-2013,Assent
23-2013,Assent
24-2013,Assent
25-2013,Assent
39-2013,Assent
40-2013,Assent
41-2013,Assent
42-2013,Assent
51-2013,Assent
16B-2012,NA
44D-2012,NA
3B-2013,NCOP
20-2012,NCOP
8-2013,NCOP
17-2013,NCOP
32-2013,NCOP
34-2013,NCOP
53-2013,NCOP
18-2013,NCOP
41-2012,Withdrawn
